"Key","Title","Description","CategoryGroupID"
"CR23  ","Groot-Amsterdam (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 24-03-2022:
- Ontvangen van Het Gooi en Vechtstreek (CR24), 2272 hectare met 9526 woningen en 20766 inwoners
... Amsterdam (GM0363) ontvangt van het opgeheven Weesp (GM0457), 2272 hectare met 9526 woningen en 20766 inwoners

Grenswijziging per 01-01-2019:
- Ontvangen van Agglomeratie Haarlem (CR21), 1922 hectare met 2410 woningen en 6167 inwoners
... Haarlemmermeer (GM0394) ontvangt van het opgeheven Haarlemmerliede en Spaarnwoude (GM0393), 1922 hectare met 2410 woningen en 6167 inwoners

Grenswijziging per 01-01-2015:
- Over naar Alkmaar en omgeving (CR19), 1994 hectare met 2593 woningen en 6406 inwoners
... Graft-De Rijp (GM0365) wordt opgeheven en gaat over naar Alkmaar (GM0361), 1994 hectare met 2593 woningen en 6406 inwoners

Grenswijziging per 01-01-2012:
- Over naar Agglomeratie Leiden en Bollenstreek (CR25), 3 hectare met 4 woningen en 10 inwoners
... Over van Uithoorn (GM0451) naar Kaag en Braassem (GM1884), 3 hectare met 4 woningen en 10 inwoners

",
"CR24  ","Het Gooi en Vechtstreek (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 24-03-2022:
- Over naar Groot-Amsterdam (CR23), 2272 hectare met 9526 woningen en 20766 inwoners
... Weesp (GM0457) wordt opgeheven en gaat over naar Amsterdam (GM0363), 2272 hectare met 9526 woningen en 20766 inwoners

Grenswijziging per 01-01-2012:
- Over naar Utrecht (CR17), 0 hectare met 0 woningen en 4 inwoners
... Over van Wijdemeren (GM1696) naar Stichtse Vecht (GM1904), 0 hectare met 0 woningen en 4 inwoners

Grenswijziging per 01-01-2002:
- Ontvangen van Utrecht (CR17), 1533 hectare met 3677 woningen en 8902 inwoners
... Wijdemeren (GM1696) ontvangt van Loosdrecht (GM0330), 1533 hectare met 3677 woningen en 8902 inwoners

",
"CR25  ","Agglomeratie Leiden en Bollenstreek (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2013:
- Over naar Agglomeratie Haarlem (CR21), 2 hectare met 0 woningen en 0 inwoners
... Over van Hillegom (GM0534) naar Bloemendaal (GM0377), 2 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2012:
- Ontvangen van Groot-Amsterdam (CR23), 3 hectare met 4 woningen en 10 inwoners
... Kaag en Braassem (GM1884) ontvangt van Uithoorn (GM0451), 3 hectare met 4 woningen en 10 inwoners

Grenswijziging per 01-01-2009:
- Ontvangen van Oost-Zuid-Holland (CR28), 3650 hectare met 4187 woningen en 10784 inwoners
... Kaag en Braassem (GM1884) ontvangt van het opgeheven Jacobswoude (GM0645), 3650 hectare met 4187 woningen en 10784 inwoners

Grenswijziging per 01-01-2005:
- Ontvangen van Oost-Zuid-Holland (CR28), 16 hectare met 0 woningen en 0 inwoners
... Alkemade (GM0483) ontvangt van Jacobswoude (GM0645), 12 hectare met 0 woningen en 0 inwoners
... Leiderdorp (GM0547) ontvangt van Jacobswoude (GM0645), 4 hectare met 0 woningen en 0 inwoners

",
"CR26  ","Agglomeratie 's-Gravenhage (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2002:
- Ontvangen van Delft en Westland (CR27), 3132 hectare met 9173 woningen en 24370 inwoners
... 's-Gravenhage (GM0518) ontvangt van het opgeheven Pijnacker (GM0594), 93 hectare met 26 woningen en 76 inwoners
... Pijnacker-Nootdorp (GM1926) ontvangt van het opgeheven Pijnacker (GM0594), 3039 hectare met 9147 woningen en 24294 inwoners

",
"CR27  ","Delft en Westland (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2004:
- Over naar Groot-Rijnmond (CR29), 112 hectare met 45 woningen en 113 inwoners
... Maasland (GM0555) wordt opgeheven en gaat gedeeltelijk over naar Maassluis (GM0556), 112 hectare met 45 woningen en 113 inwoners

Grenswijziging per 01-01-2002:
- Over naar Agglomeratie 's-Gravenhage (CR26), 3132 hectare met 9173 woningen en 24370 inwoners
... Pijnacker (GM0594) wordt opgeheven en gaat gedeeltelijk over naar 's-Gravenhage (GM0518), 93 hectare met 26 woningen en 76 inwoners
... Pijnacker (GM0594) wordt opgeheven en gaat gedeeltelijk over naar Pijnacker-Nootdorp (GM1926), 3039 hectare met 9147 woningen en 24294 inwoners

",
"CR28  ","Oost-Zuid-Holland (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2015:
- Ontvangen van Groot-Rijnmond (CR29), 5484 hectare met 9731 woningen en 22384 inwoners
... Krimpenerwaard (GM1931) ontvangt van het opgeheven Nederlek (GM0643), 2777 hectare met 6388 woningen en 14143 inwoners
... Krimpenerwaard (GM1931) ontvangt van het opgeheven Ouderkerk (GM0644), 2707 hectare met 3343 woningen en 8241 inwoners

Grenswijziging per 01-01-2010:
- Over naar Groot-Rijnmond (CR29), 4208 hectare met 7062 woningen en 18806 inwoners
... Moordrecht (GM0563) wordt opgeheven en gaat over naar Zuidplas (GM1892), 1223 hectare met 3104 woningen en 8275 inwoners
... Zevenhuizen-Moerkapelle (GM1666) wordt opgeheven en gaat over naar Zuidplas (GM1892), 2985 hectare met 3958 woningen en 10531 inwoners

Grenswijziging per 01-01-2009:
- Over naar Agglomeratie Leiden en Bollenstreek (CR25), 3650 hectare met 4187 woningen en 10784 inwoners
... Jacobswoude (GM0645) wordt opgeheven en gaat over naar Kaag en Braassem (GM1884), 3650 hectare met 4187 woningen en 10784 inwoners

Grenswijziging per 01-01-2005:
- Over naar Agglomeratie Leiden en Bollenstreek (CR25), 16 hectare met 0 woningen en 0 inwoners
... Over van Jacobswoude (GM0645) naar Alkemade (GM0483), 12 hectare met 0 woningen en 0 inwoners
... Over van Jacobswoude (GM0645) naar Leiderdorp (GM0547), 4 hectare met 0 woningen en 0 inwoners

",
"CR29  ","Groot-Rijnmond (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2015:
- Over naar Oost-Zuid-Holland (CR28), 5484 hectare met 9731 woningen en 22384 inwoners
... Nederlek (GM0643) wordt opgeheven en gaat over naar Krimpenerwaard (GM1931), 2777 hectare met 6388 woningen en 14143 inwoners
... Ouderkerk (GM0644) wordt opgeheven en gaat over naar Krimpenerwaard (GM1931), 2707 hectare met 3343 woningen en 8241 inwoners

Grenswijziging per 01-01-2010:
- Ontvangen van Oost-Zuid-Holland (CR28), 4208 hectare met 7062 woningen en 18806 inwoners
... Zuidplas (GM1892) ontvangt van het opgeheven Moordrecht (GM0563), 1223 hectare met 3104 woningen en 8275 inwoners
... Zuidplas (GM1892) ontvangt van het opgeheven Zevenhuizen-Moerkapelle (GM1666), 2985 hectare met 3958 woningen en 10531 inwoners

Grenswijziging per 01-01-2007:
- Ontvangen van Zuidoost-Zuid-Holland (CR30), 1885 hectare met 3709 woningen en 9035 inwoners
... Binnenmaas (GM0585) ontvangt van het opgeheven 's-Gravendeel (GM0517), 1885 hectare met 3709 woningen en 9035 inwoners

Grenswijziging per 01-01-2004:
- Ontvangen van Delft en Westland (CR27), 112 hectare met 45 woningen en 113 inwoners
... Maassluis (GM0556) ontvangt van het opgeheven Maasland (GM0555), 112 hectare met 45 woningen en 113 inwoners

Grenswijziging per 01-01-2003:
- Over naar Zuidoost-Zuid-Holland (CR30), 572 hectare met 1532 woningen en 3697 inwoners
... Heerjansdam (GM0526) wordt opgeheven en gaat over naar Zwijndrecht (GM0642), 572 hectare met 1532 woningen en 3697 inwoners

",
"CR30  ","Zuidoost-Zuid-Holland (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2019:
- Over naar Utrecht (CR17), 10721 hectare met 14649 woningen en 35268 inwoners
... Leerdam (GM0545) wordt opgeheven en gaat over naar Vijfheerenlanden (GM1961), 3376 hectare met 8988 woningen en 21248 inwoners
... Zederik (GM0707) wordt opgeheven en gaat over naar Vijfheerenlanden (GM1961), 7345 hectare met 5661 woningen en 14020 inwoners

Grenswijziging per 01-01-2007:
- Over naar Groot-Rijnmond (CR29), 1885 hectare met 3709 woningen en 9035 inwoners
... 's-Gravendeel (GM0517) wordt opgeheven en gaat over naar Binnenmaas (GM0585), 1885 hectare met 3709 woningen en 9035 inwoners

Grenswijziging per 01-01-2003:
- Ontvangen van Groot-Rijnmond (CR29), 572 hectare met 1532 woningen en 3697 inwoners
... Zwijndrecht (GM0642) ontvangt van het opgeheven Heerjansdam (GM0526), 572 hectare met 1532 woningen en 3697 inwoners

Grenswijziging per 01-01-2002:
- Over naar Utrecht (CR17), 3962 hectare met 7518 woningen en 19443 inwoners
... Vianen (GM0620) wordt overgeheveld van provincie, 3962 hectare met 7518 woningen en 19443 inwoners

",
"CR31  ","Zeeuwsch-Vlaanderen (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

",
"CR32  ","Overig Zeeland (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

",
"CR33  ","West-Noord-Brabant (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

",
"CR34  ","Midden-Noord-Brabant (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2021:
- Ontvangen van Noordoost-Noord-Brabant (CR35), 2605 hectare met 3000 woningen en 7269 inwoners
... Oisterwijk (GM0824) ontvangt een gedeelte van het opgeheven Haaren (GM0788)
... 1627 hectare met 2412 woningen en 5827 inwoners
... Tilburg (GM0855) ontvangt een gedeelte van het opgeheven Haaren (GM0788)
... 978 hectare met 588 woningen en 1442 inwoners

",
"CR35  ","Noordoost-Noord-Brabant (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2021:
- Over naar Midden-Noord-Brabant (CR34), 2605 hectare met 3000 woningen en 7269 inwoners
... Haaren (GM0788) wordt opgeheven en gaat gedeeltelijk over naar Oisterwijk (GM0824)
... 1627 hectare met 2412 woningen en 5827 inwoners
... Haaren (GM0788) wordt opgeheven en gaat gedeeltelijk over naar Tilburg (GM0855)
... 978 hectare met 588 woningen en 1442 inwoners

",
"CR36  ","Zuidoost-Noord-Brabant (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

",
"CR37  ","Noord-Limburg (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2016:
- Over naar Arnhem/Nijmegen (CR15), 0 hectare met 0 woningen en 5 inwoners
... Over van Mook en Middelaar (GM0944) naar Berg en Dal (GM1945), 0 hectare met 0 woningen en 5 inwoners

",
"CR38  ","Midden-Limburg (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2006:
- Ontvangen van Zuid-Limburg (CR39), 178 hectare met 8 woningen en 15 inwoners
... Echt-Susteren (GM1711) ontvangt van Sittard-Geleen (GM1883), 178 hectare met 8 woningen en 15 inwoners
- Over naar Zuid-Limburg (CR39), 100 hectare met 0 woningen en 0 inwoners
... Over van Echt-Susteren (GM1711) naar Sittard-Geleen (GM1883), 100 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2003:
- Ontvangen van Zuid-Limburg (CR39), 2791 hectare met 5237 woningen en 12960 inwoners
... Echt-Susteren (GM1711) ontvangt van het opgeheven Susteren (GM0974), 2791 hectare met 5237 woningen en 12960 inwoners

",
"CR39  ","Zuid-Limburg (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

Grenswijziging per 01-01-2018:
- Ontvangen van Buitenland (CR98), 16 hectare met 0 woningen en 0 inwoners
... Eijsden-Margraten (GM1903) ontvangt van Buitenland (GM0998), 16 hectare met 0 woningen en 0 inwoners
Grenswijziging per 01-01-2018:
- Over naar Buitenland (CR98), 5 hectare met 0 woningen en 0 inwoners
... Over van Eijsden-Margraten (GM1903) naar Buitenland (GM0998), 5 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2006:
- Ontvangen van Midden-Limburg (CR38), 100 hectare met 0 woningen en 0 inwoners
... Sittard-Geleen (GM1883) ontvangt van Echt-Susteren (GM1711), 100 hectare met 0 woningen en 0 inwoners
- Over naar Midden-Limburg (CR38), 178 hectare met 8 woningen en 15 inwoners
... Over van Sittard-Geleen (GM1883) naar Echt-Susteren (GM1711), 178 hectare met 8 woningen en 15 inwoners

Grenswijziging per 01-01-2003:
- Over naar Midden-Limburg (CR38), 2791 hectare met 5237 woningen en 12960 inwoners
... Susteren (GM0974) wordt opgeheven en gaat over naar Echt-Susteren (GM1711), 2791 hectare met 5237 woningen en 12960 inwoners

",
"CR40  ","Flevoland (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de indeling haar naam dankt. Nederland telt 40 COROP-gebieden.

",
"GM1680","Aa en Hunze","Begindatum 01-01-1998

",
"GM0738","Aalburg","Opgeheven per 01-01-2019, overgegaan naar:
- Altena (GM1959),
... 5041 hectare met 5167 woningen en 13321 inwoners

Begindatum 01-01-1973
",
"GM0358","Aalsmeer","Grenswijziging per 01-01-2002, ontvangen van:
- Amstelveen (GM0362),
... 82 hectare met 72 woningen en 197 inwoners
Grenswijziging per 01-01-2002, overgegaan naar:
- Amstelveen (GM0362),
... 208 hectare met 50 woningen en 116 inwoners
- Uithoorn (GM0451),
... 1 hectare met 0 woningen en 0 inwoners

Begindatum voor 1830
",
"GM0197","Aalten","Gemeentelijke herindeling per 01-01-2005, ontvangen van:
- Aalten (GM0197),
... 8290 hectare met 7207 woningen en 18935 inwoners
- Dinxperlo (GM0219),
... 1367 hectare met 3471 woningen en 8511 inwoners
Begindatum voor 1830

",
"GM0480","Ter Aar","Opgeheven per 01-01-2007, overgegaan naar:
- Nieuwkoop (GM0569),
... 1937 hectare met 3344 woningen en 8964 inwoners

Begindatum voor 1830

",
"GM0305","Abcoude","Opgeheven per 01-01-2011, overgegaan naar:
- De Ronde Venen (GM0736),
... 3039 hectare met 3645 woningen en 8791 inwoners

Begindatum 01-05-1941

",
"GM0059","Achtkarspelen","Begindatum voor 1830

",
"GM0482","Alblasserdam","Begindatum voor 1830

",
"GM0613","Albrandswaard","Begindatum 01-01-1985

",
"GM0483","Alkemade","Opgeheven per 01-01-2009, overgegaan naar:
- Kaag en Braassem (GM1884),
... 2695 hectare met 5447 woningen en 14628 inwoners

Grenswijziging per 01-01-2005, ontvangen van:
- Jacobswoude (GM0645),
... 12 hectare met 0 woningen en 0 inwoners
Grenswijziging per 01-01-2005, overgegaan naar:
- Leiderdorp (GM0547),
... 10 hectare met 0 woningen en 0 inwoners

Begindatum voor 1830

",
"GM0361","Alkmaar","Gemeentelijke herindeling per 01-01-2015, ontvangen van:
- Alkmaar (GM0361),
... 2928 hectare met 45286 woningen en 95248 inwoners
- Graft-De Rijp (GM0365),
... 1994 hectare met 2593 woningen en 6406 inwoners
- Schermer (GM0458),
... 6129 hectare met 2197 woningen en 5452 inwoners

Begindatum voor 1830

",
"GM0141","Almelo","Begindatum 01-12-1913

",
"GM0034","Almere","Begindatum 01-01-1984

",
"GM0484","Alphen aan den Rijn","Gemeentelijke herindeling per 01-01-2014, ontvangen van:
- Alphen aan den Rijn (GM0484),
... 5496 hectare met 31375 woningen en 73124 inwoners
- Boskoop (GM0499),
... 1485 hectare met 6328 woningen en 15177 inwoners
- Rijnwoude (GM1672),
... 5667 hectare met 7730 woningen en 18484 inwoners

Begindatum 01-01-1918

",
"GM1723","Alphen-Chaam","Begindatum 01-01-1997

",
"GM1959","Altena","Ontstaan per 01-01-2019, ontvangen van:
- Aalburg (GM0738),
... 5041 hectare met 5167 woningen en 13321 inwoners
- Werkendam (GM0870),
... 10090 hectare met 10929 woningen en 27295 inwoners
- Woudrichem (GM0874),
... 4932 hectare met 6125 woningen en 14770 inwoners
Begindatum 01-01-2019
",
"GM1679","Ambt Montfort","Opgeheven per 01-01-2007, overgegaan naar:
- Roerdalen (GM1669),
... 4410 hectare met 4430 woningen en 10909 inwoners

Begindatum 01-02-1994

",
"GM0060","Ameland","Begindatum voor 1830

",
"GM0306","Amerongen","Opgeheven per 01-01-2006, overgegaan naar:
- Rhenen (GM0340),
... 68 hectare met 124 woningen en 369 inwoners
- Utrechtse Heuvelrug (GM1581),
... 2872 hectare met 2507 woningen en 6904 inwoners

Begindatum voor 1830

",
"GM0307","Amersfoort","Begindatum voor 1830
",
"GM0362","Amstelveen","Grenswijziging per 01-01-2002, ontvangen van:
- Aalsmeer (GM0358),
... 208 hectare met 50 woningen en 116 inwoners
Grenswijziging per 01-01-2002, overgegaan naar:
- Aalsmeer (GM0358),
... 82 hectare met 72 woningen en 197 inwoners

Begindatum 01-01-1964
",
"GM0363","Amsterdam","Gemeentelijke herindeling per 24-03-2022, ontvangen van:
- Amsterdam (GM0363),
... 16540 hectare met 458397 woningen en 882633 inwoners 
- Weesp (GM0457),
... 2272 hectare met 9526 woningen en 20766 inwoners

Grenswijziging per 01-01-2014, ontvangen van:
- Haarlemmermeer (GM0394),
... 1 hectare met 0 woningen en 170 inwoners

Grenswijziging per 01-01-2006, ontvangen van:
- Ouder-Amstel (GM0437),
... 43 hectare met 9 inwoners
Grenswijziging per 01-01-2006, overgegaan naar:
- Ouder-Amstel (GM0437),
... 7 hectare met 0 woningen en 0 inwoners

Begindatum voor 1830
",
"GM0364","Andijk","Opgeheven per 01-01-2011, overgegaan naar:
- Medemblik (GM0420),
... 2114 hectare met 2594 woningen en 6518 inwoners

Begindatum voor 1830

",
"GM0199","Angerlo","Opgeheven per 01-01-2005, overgegaan naar:
- Zevenaar (GM0299),
... 2612 hectare met 1843 woningen en 5184 inwoners

Begindatum voor 1830

",
"GM0366","Anna Paulowna","Opgeheven per 01-01-2012, overgegaan naar:
- Hollands Kroon (GM1911),
... 7464 hectare met 5844 woningen en 14304 inwoners

Begindatum 18-07-1870
",
"GM0200","Apeldoorn","Begindatum voor 1830

",
"GM0003","Appingedam","Opgeheven per 01-01-2021, overgegaan naar:
- Eemsdelta (GM1979),
... 2378 hectare met 6023 woningen en 11496 inwoners

Begindatum voor 1830
",
"GM0885","Arcen en Velden","Opgeheven per 01-01-2010, overgegaan naar:
- Venlo (GM0983),
... 3960 hectare met 3677 woningen en 8668 inwoners

Begindatum 02-01-1839

",
"GM0202","Arnhem","Begindatum voor 1830

",
"GM0106","Assen","Begindatum voor 1830

",
"GM0743","Asten","Begindatum voor 1830

",
"GM0650","Axel","Opgeheven per 01-01-2003, overgegaan naar:
- Terneuzen (GM0715),
... 7143 hectare met 5389 woningen en 12266 inwoners

Begindatum voor 1830

",
"GM0744","Baarle-Nassau","Begindatum voor 1830

",
"GM0308","Baarn","Begindatum voor 1830

",
"GM0489","Barendrecht","Begindatum 10-12-1886

",
"GM0203","Barneveld","Grenswijziging per 01-01-2014, ontvangen van:
- Nijkerk (GM0267),
... 16 hectare met 0 woningen en 30 inwoners
Grenswijziging per 01-01-2014, overgegaan naar:
- Nijkerk (GM0267),
... 19 hectare met 0 woningen en 19 inwoners

Begindatum voor 1830

",
"GM0144","Bathmen","Opgeheven per 01-01-2005, overgegaan naar:
- Deventer (GM0150),
... 2622 hectare met 2170 woningen en 5339 inwoners

Begindatum voor 1830

",
"GM0005","Bedum","Opgeheven per 01-01-2019, overgegaan naar:
- Het Hogeland (GM1966),
... 4454 hectare met 4703 woningen en 10493 inwoners

Begindatum voor 1830
",
"GM0888","Beek (L.)","Grenswijziging per 01-01-2022, ontvangen van:
- Meerssen (GM0938),
... 16 hectare met 0 woningen en 0 inwoners
Grenswijziging per 01-01-2022, overgegaan naar:
- Meerssen (GM0938),
... 12 hectare met 0 woningen en 0 inwoners

Begindatum 02-01-1839
",
"GM1954","Beekdaelen","Ontstaan per 01-01-2019, ontvangen van:
- Nuth (GM0951),
... 3310 hectare met 7018 woningen en 15187 inwoners
- Onderbanken (GM0881),
... 2114 hectare met 3661 woningen en 7782 inwoners
- Schinnen (GM0962)
... 2406 hectare met 5956 woningen en 12758 inwoners
Begindatum 01-01-2019
",
"GM0370","Beemster","Opgeheven per 01-01-2022, overgegaan naar:
- Purmerend (GM0439),
... 7058 hectare met 4329 woningen en 10703 inwoners

Begindatum voor 1830
",
"GM0889","Beesel","Begindatum 02-01-1839

",
"GM0007","Bellingwedde","Opgeheven per 01-01-2018, overgegaan naar:
- Westerwolde (GM1950),
... 10837 hectare met 4118 woningen en 8816 inwoners

Begindatum 01-09-1968
",
"GM0206","Bemmel","Naamswijziging per 01-01-2003,
nieuwe naam: Lingewaard (GM1705)

Begindatum voor 1830

",
"GM0372","Bennebroek","Opgeheven per 01-01-2009, overgegaan naar:
- Bloemendaal (GM0377),
... 175 hectare met 2219 woningen en 5185 inwoners

Begindatum voor 1830

",
"GM1945","Berg en Dal","Grenswijziging per 01-01-2019, ontvangen van:
- Nijmegen (GM0268),
... 5 hectare met 26 woningen en 25 inwoners
Grenswijziging per 01-01-2019, overgegaan naar:
- Nijmegen (GM0268),
... 9 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2016, ontvangen van:
- Mook en Middelaar (GM0944),
... 0 hectare met 0 woningen en 5 inwoners

Naamswijziging per 01-01-2016,
oude naam: Groesbeek (GM0241)
Begindatum 01-01-2016
",
"GM0491","Bergambacht","Opgeheven per 01-01-2015, overgegaan naar:
- Krimpenerwaard (GM1931),
... 3510 hectare met 4231 woningen en 10186 inwoners

Begindatum voor 1830

",
"GM1724","Bergeijk","Grenswijziging per 01-01-2002, ontvangen van:
- Valkenswaard (GM0858),
... 3 hectare met 0 woningen en 0 inwoners

Begindatum 25-09-1998
",
"GM0893","Bergen (L.)","Grenswijziging per 01-01-2010, overgegaan naar:
- Venlo (GM0983),
... 86 hectare met 0 woningen en 0 inwoners

Begindatum 02-01-1839
",
"GM0373","Bergen (NH.)","Begindatum voor 1830

",
"GM0748","Bergen op Zoom","Begindatum voor 1830

",
"GM0207","Bergh","Opgeheven per 01-01-2005, overgegaan naar:
- Doetinchem (GM0222),
... 26 hectare met 6 woningen en 28 inwoners
- Montferland (GM1955),
... 7382 hectare met 7207 woningen en 18388 inwoners
- Zevenaar (GM0299),
... 28 hectare met 0 woningen en 0 inwoners

Begindatum voor 1830

",
"GM0492","Bergschenhoek","Opgeheven per 01-01-2007, overgegaan naar:
- Lansingerland (GM1621),
... 1477 hectare met 6011 woningen en 16694 inwoners
Begindatum voor 1830

",
"GM0493","Berkel en Rodenrijs","Opgeheven per 01-01-2007, overgegaan naar:
- Lansingerland (GM1621),
... 1860 hectare met 8206 woningen en 20856 inwoners

Begindatum voor 1830

",
"GM1859","Berkelland","Grenswijziging per 01-01-2018, overgegaan naar:
- Oost Gelre (GM1586),
... 32 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2006, ontvangen van:
- Groenlo (GM0240),
... 11 hectare met 0 woningen en 0 inwoners

Ontstaan per 01-01-2005, ontvangen van:
- Borculo (GM0211),
... 5511 hectare met 4059 woningen en 10339 inwoners
- Eibergen (GM0229),
... 10300 hectare met 6034 woningen en 16132 inwoners
- Neede (GM0266),
... 4587 hectare met 4413 woningen en 10915 inwoners
- Ruurlo (GM0278),
... 5455 hectare met 2873 woningen en 7838 inwoners
Grenswijziging per 01-01-2005, ontvangen van:
- Hengelo (Gld.) (GM0248),
... 6 hectare met 1 woning en 3 inwoners
- Lochem (GM0262),
... 1 hectare met 0 woningen en 0 inwoners
- Vorden (GM0286),
... 1 hectare met 0 woningen en 0 inwoners
- Zelhem (GM0298),
... 1 hectare met 0 woningen en 0 inwoners
Begindatum 01-01-2005
",
"GM1721","Bernheze","Begindatum 28-01-1995

",
"GM0568","Bernisse","Opgeheven per 01-01-2015, overgegaan naar:
- Nissewaard (GM1930),
... 5736 hectare met 5524 woningen en 12381 inwoners

Begindatum 01-01-1980

",
"GM0753","Best","Grenswijziging per 01-01-2022, ontvangen van:
- Eindhoven (GM0772),
... 11 hectare met 0 woningen en 0 inwoners
Grenswijziging per 01-01-2022, overgegaan naar:
- Eindhoven (GM0772),
... 52 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2005, ontvangen van:
- Son en Breugel (GM0848),
... 10 hectare met 0 woningen en 0 inwoners

Begindatum voor 1830
",
"GM0209","Beuningen","Begindatum voor 1830

",
"GM0375","Beverwijk","Grenswijziging per 01-01-2012, ontvangen van:
- Velsen (GM0453),
... 6 hectare met 0 woningen en 0 inwoners
Grenswijziging per 01-01-2012, overgegaan naar:
- Velsen (GM0453),
... 29 hectare met 0 woningen en 0 inwoners

Grenswijziging per 01-01-2006, ontvangen van:
- Heemskerk (GM0396),
... 6 hectare met 30 woningen en 71 inwoners
Grenswijziging per 01-01-2006, overgegaan naar:
- Heemskerk (GM0396),
... 3 hectare met 15 woningen en 24 inwoners

Begindatum voor 1830
",
"GM0063","het Bildt","Opgeheven per 01-01-2018, overgegaan naar:
- Waadhoeke (GM1949),
... 9233 hectare met 4706 woningen en 10560 inwoners

Begindatum voor 1830
",
